Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
54,10,6,0,6,Some Random Commen with Id 54
55,10,6,189,3,Some Random Commen with Id 55
56,10,6,13,7,Some Random Commen with Id 56
57,11,3,177,1,Some Random Commen with Id 57
58,13,8,65,2,Some Random Commen with Id 58
59,13,8,94,3,Some Random Commen with Id 59
60,13,8,4,3,Some Random Commen with Id 60
61,13,8,153,7,Some Random Commen with Id 61
62,13,8,121,9,Some Random Commen with Id 62
63,14,0,125,9,Some Random Commen with Id 63
64,14,0,15,7,Some Random Commen with Id 64
65,14,0,69,4,Some Random Commen with Id 65
66,14,0,49,0,Some Random Commen with Id 66
67,14,0,17,6,Some Random Commen with Id 67
68,14,0,67,9,Some Random Commen with Id 68
69,15,6,68,9,Some Random Commen with Id 69
70,15,6,4,6,Some Random Commen with Id 70
71,15,6,172,8,Some Random Commen with Id 71
72,15,6,167,1,Some Random Commen with Id 72
73,15,6,171,2,Some Random Commen with Id 73
74,15,6,104,0,Some Random Commen with Id 74
75,15,6,156,9,Some Random Commen with Id 75
76,16,4,136,4,Some Random Commen with Id 76
77,16,4,52,1,Some Random Commen with Id 77
78,16,4,135,9,Some Random Commen with Id 78
79,16,4,59,2,Some Random Commen with Id 79
80,17,2,53,7,Some Random Commen with Id 80
81,17,2,124,3,Some Random Commen with Id 81
82,17,2,114,0,Some Random Commen with Id 82
83,17,2,103,7,Some Random Commen with Id 83
84,17,2,160,1,Some Random Commen with Id 84
85,18,8,79,5,Some Random Commen with Id 85
86,18,8,144,4,Some Random Commen with Id 86
87,18,8,109,6,Some Random Commen with Id 87
88,19,2,130,7,Some Random Commen with Id 88
89,19,2,80,1,Some Random Commen with Id 89
90,19,2,86,2,Some Random Commen with Id 90
91,19,2,85,9,Some Random Commen with Id 91
92,19,2,78,3,Some Random Commen with Id 92
93,19,2,125,5,Some Random Commen with Id 93
94,19,2,5,9,Some Random Commen with Id 94
95,20,2,127,2,Some Random Commen with Id 95
96,20,2,125,7,Some Random Commen with Id 96
97,20,2,81,0,Some Random Commen with Id 97
98,20,2,49,5,Some Random Commen with Id 98
99,20,2,124,6,Some Random Commen with Id 99
100,20,2,2,3,Some Random Commen with Id 100
101,21,9,125,3,Some Random Commen with Id 101
102,21,9,150,4,Some Random Commen with Id 102
103,21,9,158,1,Some Random Commen with Id 103
104,21,9,190,2,Some Random Commen with Id 104
105,21,9,62,7,Some Random Commen with Id 105
106,21,9,159,7,Some Random Commen with Id 106
107,21,9,151,9,Some Random Commen with Id 107
108,21,9,29,6,Some Random Commen with Id 108
109,21,9,152,7,Some Random Commen with Id 109
110,22,4,59,8,Some Random Commen with Id 110
111,22,4,162,7,Some Random Commen with Id 111
112,22,4,28,9,Some Random Commen with Id 112
113,23,7,189,4,Some Random Commen with Id 113
114,23,7,158,6,Some Random Commen with Id 114
115,23,7,60,8,Some Random Commen with Id 115
116,23,7,5,7,Some Random Commen with Id 116
117,23,7,6,5,Some Random Commen with Id 117
118,23,7,10,9,Some Random Commen with Id 118
119,23,7,196,1,Some Random Commen with Id 119
120,23,7,44,8,Some Random Commen with Id 120
121,24,4,9,5,Some Random Commen with Id 121
122,24,4,195,0,Some Random Commen with Id 122
123,24,4,125,7,Some Random Commen with Id 123
124,24,4,157,8,Some Random Commen with Id 124
125,24,4,49,5,Some Random Commen with Id 125
126,25,7,23,9,Some Random Commen with Id 126
127,25,7,108,6,Some Random Commen with Id 127
128,25,7,146,6,Some Random Commen with Id 128
129,25,7,60,1,Some Random Commen with Id 129
130,25,7,50,9,Some Random Commen with Id 130
131,25,7,115,9,Some Random Commen with Id 131
132,25,7,13,3,Some Random Commen with Id 132
133,25,7,61,9,Some Random Commen with Id 133
134,25,7,17,0,Some Random Commen with Id 134
135,26,1,93,5,Some Random Commen with Id 135
136,26,1,105,6,Some Random Commen with Id 136
137,26,1,96,5,Some Random Commen with Id 137
138,26,1,55,5,Some Random Commen with Id 138
139,26,1,193,3,Some Random Commen with Id 139
140,27,7,53,7,Some Random Commen with Id 140
141,27,7,37,3,Some Random Commen with Id 141
142,27,7,63,5,Some Random Commen with Id 142
143,27,7,49,0,Some Random Commen with Id 143
144,27,7,146,4,Some Random Commen with Id 144
145,27,7,162,6,Some Random Commen with Id 145
146,27,7,162,5,Some Random Commen with Id 146
147,27,7,188,8,Some Random Commen with Id 147
148,29,7,69,3,Some Random Commen with Id 148
149,29,7,6,4,Some Random Commen with Id 149
150,29,7,86,9,Some Random Commen with Id 150
151,29,7,85,6,Some Random Commen with Id 151
152,29,7,102,0,Some Random Commen with Id 152
153,29,7,71,5,Some Random Commen with Id 153
154,30,7,154,3,Some Random Commen with Id 154
155,30,7,3,2,Some Random Commen with Id 155
156,30,7,112,2,Some Random Commen with Id 156
157,31,3,79,8,Some Random Commen with Id 157
158,31,3,159,1,Some Random Commen with Id 158
159,32,0,153,6,Some Random Commen with Id 159
160,33,4,109,4,Some Random Commen with Id 160
161,33,4,63,4,Some Random Commen with Id 161
162,33,4,117,5,Some Random Commen with Id 162
163,33,4,154,1,Some Random Commen with Id 163
164,33,4,115,7,Some Random Commen with Id 164
165,33,4,59,8,Some Random Commen with Id 165
166,33,4,198,3,Some Random Commen with Id 166
167,33,4,96,6,Some Random Commen with Id 167
168,35,2,50,1,Some Random Commen with Id 168
169,35,2,190,7,Some Random Commen with Id 169
170,35,2,7,0,Some Random Commen with Id 170
171,35,2,190,5,Some Random Commen with Id 171
172,35,2,108,0,Some Random Commen with Id 172
173,35,2,74,3,Some Random Commen with Id 173
174,35,2,98,1,Some Random Commen with Id 174
175,35,2,183,7,Some Random Commen with Id 175
176,36,3,3,2,Some Random Commen with Id 176
177,36,3,126,5,Some Random Commen with Id 177
178,36,3,7,8,Some Random Commen with Id 178
179,36,3,136,5,Some Random Commen with Id 179
180,36,3,82,8,Some Random Commen with Id 180
181,36,3,124,6,Some Random Commen with Id 181
182,36,3,137,0,Some Random Commen with Id 182
183,37,9,75,5,Some Random Commen with Id 183
184,38,4,24,6,Some Random Commen with Id 184
185,38,4,39,4,Some Random Commen with Id 185
186,38,4,65,4,Some Random Commen with Id 186
187,38,4,78,5,Some Random Commen with Id 187
188,38,4,106,2,Some Random Commen with Id 188
189,38,4,85,6,Some Random Commen with Id 189
190,38,4,140,9,Some Random Commen with Id 190
191,39,2,144,0,Some Random Commen with Id 191
192,39,2,124,8,Some Random Commen with Id 192
